logFC	Gene.symbol	Gene.title
-13357279,00	HYAL1	hyaluronoglucosaminidase 1
-10922738,00	EPB41L2	erythrocyte membrane protein band 4.1 like 2
-0,77	OR7E47P	olfactory receptor family 7 subfamily E member 47 pseudogene
-14564908,00	NEDD4L	neural precursor cell expressed
-0,66	STARD8	StAR related lipid transfer domain containing 8
-27166265,00	SFTPD	surfactant protein D
-12949087,00	PALMD	palmdelphin
-28244686,00	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
-0,91	MACF1	microtubule-actin crosslinking factor 1
-3016021,00	HBB	hemoglobin subunit beta
-0,84	KIAA0040	KIAA0040
-0,67	SH3GL3	SH3 domain containing GRB2 like 3
-2095114,00	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
-10603313,00	STOM	stomatin
-12427853,00	PTGDS	prostaglandin D2 synthase
-0,76	SGCG	sarcoglycan gamma
-14174461,00	DES	desmin
-15462761,00	SLCO2A1	solute carrier organic anion transporter family member 2A1
-1362405,00	FBLN1	fibulin 1
-13580732,00	A2M	alpha-2-macroglobulin
-17134997,00	GNG11	G protein subunit gamma 11
-1303897,00	C1orf115	chromosome 1 open reading frame 115
-0,99	PRKCH	protein kinase C eta
-16734274,00	PTGDS	prostaglandin D2 synthase
-22255966,00	LAMP3	lysosomal associated membrane protein 3
-1190224,00	MYH11	myosin heavy chain 11
-2265631,00	AQP4	aquaporin 4
-0,87	RPL23AP32	ribosomal protein L23a pseudogene 32
-12937546,00	PLPP3	phospholipid phosphatase 3
-19626415,00	SLC39A8	solute carrier family 39 member 8
-11803782,00	CAPN3	calpain 3
-0,93	PARVA	parvin alpha
-0,85	GRIA1	glutamate ionotropic receptor AMPA type subunit 1
-13275415,00	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
-14755052,00	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1
-15372718,00	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75
-15379046,00	MIR22///MIR22HG	microRNA 22///MIR22 host gene
-0,95	TTN	titin
-0,54	DENND2A	DENN domain containing 2A
-11207176,00	ZNF423	zinc finger protein 423
-0,83	N4BP1	NEDD4 binding protein 1
-16466997,00	PTGDS	prostaglandin D2 synthase
-11180303,00	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
-20960637,00	ABCA3	ATP binding cassette subfamily A member 3
-17147903,00	SORBS1	sorbin and SH3 domain containing 1
-0,98	SPTBN1	spectrin beta
-0,64	ARHGEF26	Rho guanine nucleotide exchange factor 26
-1329261,00	PLLP	plasmolipin
-14992821,00	LTBP4	latent transforming growth factor beta binding protein 4
-15826255,00	KLF4	Kruppel like factor 4
-10482079,00	HLF	HLF
-0,62	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
-0,71	ABHD6	abhydrolase domain containing 6
-10156992,00	SH3BP5	SH3 domain binding protein 5
-0,55	GRK5	G protein-coupled receptor kinase 5
-14105303,00	PLPP3	phospholipid phosphatase 3
-23441733,00	MARCO	macrophage receptor with collagenous structure
-0,64	CORO2B	coronin 2B
-20079382,00	PLA2G1B	phospholipase A2 group IB
-15066258,00	CCL15-CCL14///CCL14	CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14
-0,90	ICAM2	intercellular adhesion molecule 2
-0,93	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
